timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:54.557,URLLC,PUSCH,UL,1.0,-7.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:54.561,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:37:54.561,URLLC,PDSCH,DL,15.0,-127.0,4737.0,6.0,0.0,0.75,0.0,1.0,32.6,,,
2025-08-29 13:37:54.561,URLLC,MAC,DL,,,,,,,,,,,,4732.0
2025-08-29 13:37:54.562,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.562,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.565,URLLC,PDCCH,DL,,,,,,,,,,16.0,,
2025-08-29 13:37:54.565,URLLC,MAC,UL,,,,,,,,,,,,145.0
2025-08-29 13:37:54.567,URLLC,PUSCH,UL,2.0,-266.0,153.0,6.0,0.0,0.7,0.0,1.0,,,,
2025-08-29 13:37:54.657,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.661,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:54.661,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:54.662,URLLC,PUSCH,UL,3.0,-241.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:54.665,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.666,URLLC,PDSCH,DL,0.0,-191.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.2,,,
2025-08-29 13:37:54.666,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.667,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.667,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.670,URLLC,MAC,UL,,,,,,,,,,,,133.0
2025-08-29 13:37:54.670,URLLC,PDCCH,DL,,,,,,,,,,15.0,,
2025-08-29 13:37:54.672,URLLC,PUSCH,UL,4.0,-266.0,141.0,6.0,0.0,0.65,0.0,1.0,,,,
2025-08-29 13:37:54.757,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.761,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:54.761,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:54.762,URLLC,PUSCH,UL,5.0,-251.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:54.765,URLLC,PDCCH,DL,,,,,,,,,,21.0,,
2025-08-29 13:37:54.766,URLLC,PDSCH,DL,1.0,-159.0,5889.0,8.0,0.0,0.69,0.0,1.0,33.1,,,
2025-08-29 13:37:54.766,URLLC,MAC,DL,,,,,,,,,,,,5884.0
2025-08-29 13:37:54.767,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.767,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.770,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:54.770,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:54.772,URLLC,PUSCH,UL,6.0,-266.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:54.857,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.861,URLLC,PDCCH,DL,,,,,,,,,,12.0,,
2025-08-29 13:37:54.861,URLLC,MAC,UL,,,,,,,,,,,,103.0
2025-08-29 13:37:54.862,URLLC,PUSCH,UL,7.0,-25.0,111.0,6.0,0.0,0.5,0.0,1.0,,,,
2025-08-29 13:37:54.865,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.866,URLLC,PDSCH,DL,2.0,-31.0,4992.0,8.0,0.0,0.78,0.0,1.0,32.9,,,
2025-08-29 13:37:54.866,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.867,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.867,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.870,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:37:54.870,URLLC,MAC,UL,,,,,,,,,,,,160.0
2025-08-29 13:37:54.872,URLLC,PUSCH,UL,8.0,-266.0,165.0,6.0,0.0,0.75,0.0,1.0,,,,
2025-08-29 13:37:54.957,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.961,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:54.961,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:54.962,URLLC,PUSCH,UL,9.0,-221.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:54.965,URLLC,PDCCH,DL,,,,,,,,,,25.0,,
2025-08-29 13:37:54.966,URLLC,PDSCH,DL,3.0,-47.0,5505.0,8.0,0.0,0.86,0.0,1.0,33.3,,,
2025-08-29 13:37:54.966,URLLC,MAC,DL,,,,,,,,,,,,5500.0
2025-08-29 13:37:54.967,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.967,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.970,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:54.970,URLLC,MAC,UL,,,,,,,,,,,,115.0
2025-08-29 13:37:54.972,URLLC,PUSCH,UL,10.0,1.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:55.057,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.061,URLLC,PDCCH,DL,,,,,,,,,,15.0,,
